,host_listings_count,accommodates,bedrooms,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost_t,room_type_Private room,room_type_Shared room
4390,0.0014235618503742678,0.011388494802994142,0.004270685551122803,0.042706855511228034,0.042706855511228034,0.0,0.0,0.0,0.0014235618503742678,0.0
11859,0.0008714215204495427,0.0008714215204495427,0.0008714215204495427,0.02614264561348628,0.9803492105057355,0.15598445216046813,0.0,0.0,0.0008714215204495427,0.0
3276,0.0008862777606966154,0.0017725555213932308,0.0008862777606966154,0.026588332820898463,0.9970624807836923,0.0,0.0,0.0,0.0008862777606966154,0.0
11992,0.004019744868320173,0.008039489736640346,0.0020098724341600866,0.060296173024802606,0.7336034384684317,0.625070327023787,0.008039489736640346,0.0020098724341600866,0.0,0.0
2324,0.013391746099851255,0.013391746099851255,0.006695873049925628,0.013391746099851255,0.3013142872466532,0.8570717503904803,0.1740926992980663,0.006695873049925628,0.006695873049925628,0.0
4443,0.012292907875749121,0.008195271917166081,0.004097635958583041,0.1229290787574912,0.1229290787574912,0.0,0.9588468143084314,0.004097635958583041,0.004097635958583041,0.0
5759,0.011463940924142704,0.0026455248286483164,0.0008818416095494388,0.027337089896032604,0.9920718107431187,0.048501288525219136,0.08906600256449332,0.0,0.0,0.0
361,0.0018117239763074605,0.005435171928922382,0.0018117239763074605,0.6612792513522231,0.6612792513522231,0.161243433891364,0.06341033917076112,0.0,0.0,0.0
8239,0.0008634304325974492,0.0017268608651948983,0.0008634304325974492,0.025902912977923475,0.9713592366721303,0.1882278343062439,0.058713269416626544,0.0008634304325974492,0.0,0.0
16364,0.007823119560544347,0.005215413040362897,0.0026077065201814487,0.0026077065201814487,0.31292478242177385,0.9048741625029627,0.005215413040362897,0.0026077065201814487,0.0026077065201814487,0.0
17621,0.043110812472295174,0.003748766301938711,0.0018743831509693556,0.0018743831509693556,0.6841498501038148,0.6654060185941212,0.0,0.0,0.0,0.0
12272,0.013616287856636064,0.013616287856636064,0.006808143928318032,0.20424431784954097,0.20424431784954097,0.0,0.03404071964159016,0.0,0.0,0.0
16436,0.0008494244683391893,0.0016988489366783785,0.0008494244683391893,0.02548273405017568,0.955602526881588,0.2862560458303068,0.0,0.0,0.0008494244683391893,0.0
15452,0.5286750155262557,0.017428846665700735,0.0058096155552335785,0.18009808221224094,0.5228653999710221,0.331148086648314,0.0,0.0,0.0,0.0
1098,0.0008812751089060292,0.0017625502178120584,0.0008812751089060292,0.026438253267180876,0.9914344975192828,0.0,0.0008812751089060292,0.0,0.0,0.0
7404,0.0008736815113004107,0.005242089067802464,0.0017473630226008214,0.026210445339012324,0.9828917002129621,0.13279958971766243,0.002621044533901232,0.0,0.0,0.0
14207,0.10201191424277734,0.001758826107634092,0.000879413053817046,0.027261804668328428,0.9893396855441768,0.05628243544429094,0.0,0.0,0.0,0.0
5953,0.0008850183546004874,0.0008850183546004874,0.0008850183546004874,0.026550550638014623,0.9956456489255484,0.0,0.0026550550638014623,0.0,0.0,0.0
7949,0.0008862600581269939,0.002658780174380982,0.0008862600581269939,0.02658780174380982,0.9970425653928682,0.0,0.005317560348761964,0.0,0.0,0.0
338,0.0007617322540091923,0.004570393524055153,0.0022851967620275766,0.0007617322540091923,0.8569487857603413,0.2650828243951989,0.14092046699170058,0.0,0.0,0.0
4283,0.00527533527813626,0.00527533527813626,0.00263766763906813,0.00527533527813626,0.9627486882598674,0.1767237318175647,0.17144839653942842,0.00263766763906813,0.00263766763906813,0.0
4817,0.0011603096584515264,0.0023206193169030527,0.0034809289753545787,0.008122167609160683,0.03480928975354579,0.10094694028528278,0.0011603096584515264,0.0,0.0,0.0
5118,0.0017763810214656078,0.0017763810214656078,0.0008881905107328039,0.026645715321984117,0.9992143245744044,0.0,0.0008881905107328039,0.0,0.0,0.0008881905107328039
5059,0.0008721790182836228,0.0017443580365672456,0.0008721790182836228,0.0017443580365672456,0.9812013955690757,0.11861634648657271,0.11599980943172183,0.0008721790182836228,0.0,0.0
7965,0.0007831176603713132,0.006264941282970506,0.003132470641485253,0.003132470641485253,0.28583794603552937,0.26077818090364735,0.06969747177304689,0.0007831176603713132,0.0,0.0
456,0.001600896790371745,0.00320179358074349,0.001600896790371745,0.024013451855576174,0.9005044445841066,0.29216366424284346,0.0696390103811709,0.0008004483951858725,0.0,0.0
3447,0.044640473403008495,0.003433882569462192,0.000858470642365548,0.02661258991333199,0.9657794726612415,0.23865483857762235,0.015452471562579864,0.000858470642365548,0.0,0.0
5297,0.09029899319802485,0.008809657872978034,0.0022024144682445085,0.06607243404733526,0.792869208568023,0.48012635407730286,0.04184587489664566,0.0,0.0,0.0
3944,0.0008631853810820098,0.0034527415243280394,0.0017263707621640197,0.0017263707621640197,0.9710835537172611,0.18817441307587815,0.11825639720823534,0.0008631853810820098,0.0008631853810820098,0.0
12637,0.005403046910018608,0.008104570365027913,0.005403046910018608,0.08104570365027912,0.48627422190167474,0.8401737945078935,0.008104570365027913,0.002701523455009304,0.0,0.0
15710,0.0,0.005001961362291788,0.002500980681145894,0.07753040111552272,0.9128579486182513,0.1725676669990667,0.0,0.0,0.0,0.0
15089,0.0,0.01505837893676371,0.0037645947341909277,0.0037645947341909277,0.10540865255734598,0.3388135260771835,0.026352163139336495,0.0037645947341909277,0.0037645947341909277,0.0
9154,0.0008398717104325778,0.0008398717104325778,0.0008398717104325778,0.025196151312977335,0.9448556742366501,0.3057133025974583,0.0,0.0,0.0008398717104325778,0.0
1605,0.0008368562898210053,0.005021137738926032,0.0016737125796420105,0.025105688694630156,0.9414633260486309,0.27281515048164773,0.12385473089350878,0.0,0.0,0.0
13394,0.0,0.004832573897678614,0.002416286948839307,0.004027144914732179,0.9061076058147401,0.0,0.0,0.0,0.0,0.0
15315,0.013710066461917832,0.018280088615890443,0.009140044307945221,0.006855033230958916,0.04798523261671241,0.3953069163186308,0.006855033230958916,0.0022850110769863053,0.0,0.0
15980,0.006609462997658501,0.026437851990634004,0.006609462997658501,0.19828388992975501,0.19828388992975501,0.45605294683843656,0.0,0.0,0.0,0.0
15815,0.002604693967214699,0.0034729252896195987,0.0008682313224048997,0.02604693967214699,0.9767602377055121,0.12328884778149575,0.0017364626448097993,0.0,0.0,0.0
2434,0.004028464699800671,0.004028464699800671,0.0020142323499003356,0.010071161749501678,0.7351948077136226,0.6223977961192038,0.05237004109740873,0.0,0.0020142323499003356,0.0
14942,0.0,0.010501162742982986,0.010501162742982986,0.31503488228948956,0.6300697645789791,0.37804185874738744,0.0,0.0,0.010501162742982986,0.0
9453,0.0026618767828978183,0.0008872922609659394,0.0008872922609659394,0.026618767828978183,0.9982037935866819,0.0,0.039928151743467276,0.0008872922609659394,0.0008872922609659394,0.0
13027,0.0826919240109629,0.0016875902859380184,0.0008437951429690092,0.025313854289070275,0.9492695358401353,0.2835151680375871,0.0033751805718760367,0.0,0.0,0.0
8907,0.004001983067913729,0.0008003966135827457,0.0008003966135827457,0.02401189840748237,0.9004461902805889,0.14327099383131148,0.0,0.0008003966135827457,0.0,0.0
8815,0.0008832832261298557,0.003533132904519423,0.0008832832261298557,0.026498496783895674,0.9936936293960877,0.022082080653246395,0.013249248391947837,0.0,0.0,0.0
1570,0.0011985909124510273,0.007191545474706165,0.0035957727373530824,0.10787318212059246,0.479436364980411,0.3547829100855041,0.013184500036961302,0.0,0.0,0.0
10259,0.0,0.009803217293915175,0.004901608646957587,0.004901608646957587,0.13724504211481245,0.7499461229845108,0.4166367349913949,0.004901608646957587,0.004901608646957587,0.0
3737,0.013014096688038069,0.019521145032057104,0.006507048344019034,0.19521145032057102,0.19521145032057102,0.5856343509617131,0.03904229006411421,0.0,0.0,0.006507048344019034
16616,0.0,0.0033063620891095416,0.0008265905222773854,0.024797715668321563,0.9299143375620585,0.30170554063124566,0.0,0.0,0.0,0.0
10655,0.00771095581196645,0.0025703186039888167,0.0025703186039888167,0.0771095581196645,0.0771095581196645,0.9355959718519292,0.0154219116239329,0.0,0.0025703186039888167,0.0
7077,0.01389020241110753,0.01389020241110753,0.006945101205553765,0.01389020241110753,0.20835303616661296,0.45837667956654854,0.2778040482221506,0.0,0.006945101205553765,0.0
